,post,pre,subject,group,log2fc,MTOR,FST,MYOD1,MSTN,AKT1,MYOG,FST,IGF1,IGF1,IGF1,IGF1,MTOR,FST,IGF1
0,GSM1174042,GSM1174043,S137,A,Log2FC_GSM1174042_GSM1174043,-0.1161750354806248,0.2625525050300048,-0.19097417903252634,-0.4465730129816663,-0.10215187598648257,0.5095119432322228,-0.6941268679479826,-0.15724467288813138,0.2307854771515352,-0.07610743084488636,-0.5274028434064393,-1.0473425671623087,-0.463178611248507,-0.25705223454675563
1,GSM1174044,GSM1174045,S139,A,Log2FC_GSM1174044_GSM1174045,-0.006254332409552532,-0.5432331901954255,-0.9020904883824405,-1.622722737792591,0.21376526544815544,-0.8464182535496629,-0.25037442819291034,0.6771471101291491,0.3543133393869571,0.49263380504628707,0.6159282090955811,-0.6783418650549597,-0.7912065757458615,-0.33204911758778044
2,GSM1174046,GSM1174047,S144,B,Log2FC_GSM1174046_GSM1174047,-0.18016705456824234,-0.7453153411987916,0.15884387614093143,1.014553201882733,-0.5059099264478668,-0.6316321869562707,-0.3441149780245185,-0.8229732385338053,-0.12094076115320185,0.369928600557313,0.5028866224531923,0.8559266869375612,-1.1346232261416667,-0.7845414046891261
3,GSM1174048,GSM1174049,S145,B,Log2FC_GSM1174048_GSM1174049,-0.34437867589995186,-2.565994966347548,-0.14523013392368345,-1.3617171787856375,-0.2898123309967904,0.17345831540471401,-0.7733483138830151,-0.06398065556068389,-0.20097720021577992,-0.4229794426778408,-0.43664308337720215,-0.2290422223320423,-1.0771712652837628,0.8095481274939726
4,GSM1174050,GSM1174051,S146,C,Log2FC_GSM1174050_GSM1174051,-2.0374888739603207,-1.6470179464982317,-1.155016486541446,-4.191117150678004,-1.4201912057983153,-2.8948287467684994,-0.6622021597294676,-1.6362553302801848,-2.4990042636167553,-2.092566960085234,-1.6475539091651044,-2.3033319875296336,-2.539010699683357,1.0584077138814267
5,GSM1174052,GSM1174053,S156,A,Log2FC_GSM1174052_GSM1174053,0.579145158156221,1.08288105943633,0.6080323273553425,1.1928635679855066,0.45337381952862366,-0.09711484218012956,1.5391472930203949,1.4618202726082066,0.4653907011357372,0.6533284580288043,-6.910617398325769e-05,0.97072320204264,1.9183750601401743,0.8601783329580182
6,GSM1174054,GSM1174055,S162,D,Log2FC_GSM1174054_GSM1174055,0.08018622941909825,-0.5991292861313351,0.32588352394016695,-0.39901335908800917,-0.04879695703287368,0.41299633052152984,-0.33403560383367026,0.6692324235509588,-0.14297660420874259,0.10795631039899511,0.38088007085378983,-0.8087400020175401,-0.7492636315143386,-1.1301448753898389
7,GSM1174056,GSM1174057,S167,D,Log2FC_GSM1174056_GSM1174057,0.0954479896149465,0.14727683215083154,-0.3514838847317421,-0.08372434519030758,0.3467465789048365,-0.012910716249013632,-0.20496778501989343,0.5680590087760784,0.3116467709873678,0.12340874014758096,-0.12379522934924125,-0.125973362085543,0.8839872552086305,-0.49721411095721857
8,GSM1174058,GSM1174059,S171,C,Log2FC_GSM1174058_GSM1174059,-0.44870470609331115,-0.14835762077665127,-0.6643430625564726,-1.0206575708619035,-0.1973770132524706,-0.6462474485112324,0.5225759393821323,-0.465232135697371,-0.08207259578067827,-0.20790578756686617,-0.20848220442644383,0.26212342473076067,-0.4121839736709303,-1.105895878088913
9,GSM1174060,GSM1174061,S172,A,Log2FC_GSM1174060_GSM1174061,1.045246722732391,-0.14199541569021612,0.5657844122170594,0.2505861388109327,0.0544817822081054,-0.2607684312172056,0.957731971699217,2.1707281757598142,2.547703983141207,0.6841321957111663,0.7337996823824042,0.23431701650906334,0.8376675246623266,-2.577406472177686
10,GSM1174062,GSM1174063,S175,B,Log2FC_GSM1174062_GSM1174063,-0.3341316210884617,0.9968461690451704,0.4528957830604332,0.5049112173710331,0.005901371374319453,0.0009422195007093848,0.40072799546120397,0.8538597224468703,1.0412966460685453,0.39130992315205226,0.40893165717470303,-1.6320921825359944,1.670279068952393,-0.7494818868527535
11,GSM1174064,GSM1174065,S176,A,Log2FC_GSM1174064_GSM1174065,-0.06169738463732166,0.34952496389016385,0.2891887946096414,0.15586129379618363,-0.8274608643658352,-0.9506513428739671,-0.2472782733920118,0.2698553663922425,0.34707043715159713,-1.1696781049480443,-1.8460119941833657,0.3127280932004264,0.20369269971747705,-1.8121499944299164
12,GSM1174066,GSM1174067,S177,D,Log2FC_GSM1174066_GSM1174067,0.32738980802754014,1.5406352784248378,-0.10040013967488015,-0.5199198011520938,0.2333502077607541,-0.30337225963211,-0.12342622861690256,0.6810159610850688,1.0205269907811818,0.07627972809619443,0.18933893181884365,-0.021926531846404806,0.7592055997261156,1.1466078690137138
13,GSM1174068,GSM1174069,S179,C,Log2FC_GSM1174068_GSM1174069,0.021530541925004698,0.2771911610417934,0.020466953377621167,-1.257975987101398,0.09241741286038163,-0.7467807268228368,-0.9360365246803437,-0.4014387639789181,-0.2586675652214492,-0.13799830019952175,0.2896920141434096,0.5859535244671079,-0.42404432580990825,-0.36480274900496035
14,GSM1174070,GSM1174071,S180,A,Log2FC_GSM1174070_GSM1174071,-0.234451691658208,-0.12620913812428913,-0.19471968431402065,-0.7996727013969984,-0.1789902410223947,-1.1102356949576109,-0.06609985031374155,-0.444725239177167,-0.1003344217185731,-0.046166487110353316,0.40524559906964,-0.6947864901352023,-0.2462091873921084,-0.21322265025826637
15,GSM1174072,GSM1174073,S182,D,Log2FC_GSM1174072_GSM1174073,-0.047243268609053146,-0.7476818390261348,0.045111383680469075,0.32340914821941524,-0.5287089220507646,-1.5461216779672977,0.9579788057352041,-0.4486206772848025,-0.593452831232808,-1.574898101962619,-1.4606295900417252,0.3145801766166505,-1.0406738704488472,0.22552364129332902
16,GSM1174074,GSM1174075,S185,B,Log2FC_GSM1174074_GSM1174075,0.018001836136731342,-0.06655821559843034,0.2964876779524772,-0.4899766875057203,0.23802312924269486,-0.2152720917985489,-0.098667147883301,0.5560828307072923,0.5719003466691284,0.9890241207256096,0.21245482587302345,0.6192815335741031,0.5715273815170345,-4.482630431182825
17,GSM1174076,GSM1174077,S187,A,Log2FC_GSM1174076_GSM1174077,-0.028037702141610055,-0.18531291291389884,-0.13069946089759021,0.6070599046171647,-0.15384614910989036,0.17278608748972246,0.4918581471982124,-0.05419559196902668,-0.029569309114325648,-0.02046984383874495,0.1086602472853917,-0.4897081844220721,0.40724804019766925,-1.115814481009246
18,GSM1174078,GSM1174079,S189,C,Log2FC_GSM1174078_GSM1174079,0.08609983428205936,-0.5609028194136707,-0.41199671910830826,-1.8432045343058885,0.4544546001633307,-0.7306306919013235,-1.3524247288281348,-0.34194155073469723,-0.12024808018231248,0.1603872677134115,0.2538560065625193,-0.33081896254445287,-1.1039845693872774,-2.3557395703580846
19,GSM1174080,GSM1174081,S192,D,Log2FC_GSM1174080_GSM1174081,0.48016941482078224,0.3967660265811084,-0.16056242757531614,-0.04137133213212252,-0.2339047577807678,0.47727836917960786,0.6204892872008756,0.7371876200599692,0.5640398607562815,0.3628279581523648,0.289413339501575,-0.22512350976000128,0.7908280266120666,0.018699787040275577
20,GSM1174082,GSM1174083,S198,B,Log2FC_GSM1174082_GSM1174083,-0.09186554357508214,0.6834066441333073,0.11907358858398176,0.29657059529733765,0.3709338278066632,1.334794339928144,0.5389690265958471,1.7769980576265194,1.5484248101853488,1.1296601314927646,1.4859588339005603,-0.48270885859104373,0.5402386284660707,0.3482826088276334
21,GSM1174084,GSM1174085,S199,C,Log2FC_GSM1174084_GSM1174085,-0.027962067123288747,-0.5580698361571867,-0.8095501433923156,-0.6983807686783265,-0.021919484487670005,-0.6890209739753974,0.008119119655230378,0.7671351849658246,0.6052294066811736,0.8676515010485053,0.6667857023732298,0.5761822560386745,-0.16502057587084185,-2.009525157700991
22,GSM1174086,GSM1174087,S206,B,Log2FC_GSM1174086_GSM1174087,-0.09770774798333548,-0.16174037924472007,-0.29981899163112224,-0.45886182147248,-0.3277600615320342,-0.18994806037157375,-0.43682672556643976,0.49656721984627517,0.4060150323777325,0.1759518730436831,0.13823476243470711,0.17904366953312678,-0.1346094183293145,-0.12594348834694857
23,GSM1174088,GSM1174089,S215,C,Log2FC_GSM1174088_GSM1174089,-0.16792543117514214,0.07948998431521481,-0.6548484141186872,0.12489772051871562,-0.14174319414416914,-0.3369559525110821,-0.1091597714601864,-0.3596601687939547,-0.5079021735018419,0.017259357944187315,-0.05578922477659454,0.5203553269134065,0.13947007304173198,-1.427326618136938
24,GSM1174090,GSM1174091,S223,B,Log2FC_GSM1174090_GSM1174091,0.03983271169725633,1.7851372272244124,0.9011666627593771,0.9581740049893543,0.014763956522611643,1.388854001434554,0.5930075637005245,0.8239158671227429,0.49458256898056874,0.8427247418921029,0.3668301405625449,0.5494072227376106,2.5051683511567946,1.6956272316656946
25,GSM1174092,GSM1174093,S226,B,Log2FC_GSM1174092_GSM1174093,-0.1296690965669498,-0.1586191469168714,0.3132450559434812,-0.6072035907183455,0.16843137166446098,1.5325306356332087,-0.4096333963310901,-0.25706957851683043,-0.7051574361659743,-0.4831098283816857,-0.9856495696429688,0.0666476787386312,-0.8389353085941016,1.1469192297427373
26,GSM1174094,GSM1174095,S230,C,Log2FC_GSM1174094_GSM1174095,0.07975193572023898,-0.3578636810703859,-0.3896490175294396,-0.46943010518058514,-0.6453037358086178,0.05549535263702143,-1.3938929657469323,-0.8500923279806081,-0.6833770936775956,-0.5700662944621646,-0.5834699916733141,-0.536280766412963,-0.8108848316198776,-1.0982443136350513
27,GSM1174096,GSM1174097,S235,C,Log2FC_GSM1174096_GSM1174097,0.1848543800805178,-0.7807121907511485,-0.2846897432916844,-1.0298385650474202,0.09926868682529477,0.4217483924778964,-1.1818504865088961,0.9031742351386347,1.047031576084617,-0.3449114697008433,0.028503511289839523,-0.33586180947821465,-0.4246352863906111,1.3085087592371032
28,GSM1174098,GSM1174099,S240,A,Log2FC_GSM1174098_GSM1174099,0.08213762096118948,-0.26539328634469417,-0.6894593341399178,-0.6064026476181414,-0.1703341099985547,-0.02777327917564243,-0.628706498965327,0.09930009464361511,0.24918516303043958,0.17225033192333505,0.0035238157840078443,-0.17319321184287606,-0.6592997668392222,0.7336519830567374
29,GSM1174100,GSM1174101,S242,D,Log2FC_GSM1174100_GSM1174101,0.11951412282660634,0.6087201070371204,0.8208874773625858,0.17538053088278716,0.05580169592990458,0.2237315170539249,-0.5537467761614545,0.24715497414081966,0.061758732002724415,-0.2919324408090125,-0.08905151000892086,-0.173638910592536,-0.21787371116989185,1.7842994792745694
30,GSM1174102,GSM1174103,S243,A,Log2FC_GSM1174102_GSM1174103,0.11331685904550781,0.17680241073014535,0.11063041697118337,-0.2101710440948512,0.18884865169308185,0.9027350184557745,-0.9997423715962626,-0.33181005888431603,-0.2658956692279659,-0.23159824686776975,-0.09658900398824866,0.8144135034203441,-0.011577891161093312,1.0903078980450664
31,GSM1174104,GSM1174105,S247,A,Log2FC_GSM1174104_GSM1174105,0.19665746970633258,0.6365089094048058,0.3547057223857717,-0.16283406485293028,0.09504630305468886,0.6778556243622909,-0.014744286717480293,-0.24801947224700527,-0.14480272351466184,0.24150973006853071,-0.22198673893137677,-0.674399423384795,-0.4142994116845715,0.8203245720690213
32,GSM1174106,GSM1174107,S257,D,Log2FC_GSM1174106_GSM1174107,0.3145914571635675,0.12527517105360708,0.4637336694151646,-1.8591852987420845,0.24004132368886566,0.5701617722810983,0.7098050343038249,-0.004641665617045376,0.02545021486266208,-0.09995280198296097,-0.4550502696434746,0.20592677660190262,-0.42675159138813434,-2.444359320949903
33,GSM1174108,GSM1174109,S268,D,Log2FC_GSM1174108_GSM1174109,0.33033861180092927,0.3491998337908626,0.11661564036296745,-0.20291822798693104,0.29500571154194954,-0.3493654139105198,-0.287943350508562,0.09993428739496935,0.08854898608961115,-0.10696057279379367,0.08813604340514747,-0.19105792819264078,0.45705118725629124,-0.874853043768749
34,GSM1174110,GSM1174111,S273,D,Log2FC_GSM1174110_GSM1174111,0.24522959840196634,-0.31638192163873313,-0.0043719491741907035,-0.8465419958100195,-0.08891962798101716,-0.36444666962051464,-0.21705940726666206,0.4903667802036633,0.760592199753928,-0.10513114087430342,0.106201088234668,0.11105629999949773,-0.6568269029576559,-0.4158584868167665
35,GSM1174112,GSM1174113,S277,C,Log2FC_GSM1174112_GSM1174113,0.32538574554620325,0.09590496244423274,-0.27813489061929175,-0.5541495817347126,0.21421156610223235,0.4036078321518408,-0.48564973200683426,0.3527734711930153,0.23344187864865695,0.135195407766588,0.5335217011035942,-0.5562508986325811,-0.10325409740149993,0.5600808397350399
36,GSM1174114,GSM1174115,S281,C,Log2FC_GSM1174114_GSM1174115,-0.11663537760833087,-0.8677279375939122,-0.4137404305604484,0.04912636862368025,-0.10676298997282885,-0.4096252904914808,1.0118414518588255,-0.9746453007211064,-0.7977651144286888,-0.3346122695052429,-0.29404277758832986,0.2678336011823905,-0.766592612670908,-1.8144360566485
37,GSM1174116,GSM1174117,S301,E,Log2FC_GSM1174116_GSM1174117,-0.3441647431802739,0.5873753770947863,-0.08974185693240067,-1.0966916901924826,-0.058214270346164554,-0.05122401624149564,0.7128590398769656,-0.23619342323030956,-0.11108665038384835,0.46133128613325525,0.3662721670741105,0.9795554670870406,-0.8085510369968816,1.0541406264277886
38,GSM1174118,GSM1174119,S314,E,Log2FC_GSM1174118_GSM1174119,0.31070697113901957,-0.9762708050861457,-0.150402124238588,-0.2926982585026856,0.5298867768144602,-0.058011170824065594,0.2721027565391667,0.18216202460113617,0.20146162501278475,-0.2891713159473044,-0.2573220014759441,0.1264813163787597,-0.6299023872323257,-2.696381531862513
39,GSM1174120,GSM1174121,S316,E,Log2FC_GSM1174120_GSM1174121,0.22645020077821698,1.4151635965849927,-0.4188233038446434,-1.062660057137256,0.6246904535168252,1.1627505526456794,-0.6967640599976934,1.4798580946342366,1.341153712844907,0.6183181863968734,1.4149013916210693,-0.25795445702537645,0.5525505489632838,-0.4113973705542695
40,GSM1174122,GSM1174123,S317,F,Log2FC_GSM1174122_GSM1174123,-0.09922333720753151,-0.5551177385299448,0.6828549899540084,-1.2657451913915994,-0.6614808408223176,-0.00870632523220749,0.04206766774858295,-0.6048670900241779,-1.0199947547444834,-0.5836109678824206,-0.9928599776124276,-5.631803536198206,-0.2707349087719093,2.7271254107041596
41,GSM1174124,GSM1174125,S326,B,Log2FC_GSM1174124_GSM1174125,0.13333651982109274,0.9882823139954828,-0.016145059860843247,-0.07742873061220124,-0.05280106552956809,-0.05883292980261956,0.759534888376316,0.2695042616326031,0.5090818742040657,0.5120016826970355,0.6699291035955399,0.4590327804931711,1.4519799515895215,0.20895793169152777
42,GSM1174126,GSM1174127,S330,B,Log2FC_GSM1174126_GSM1174127,0.02991238325322776,2.2765589954575747,1.0724823877806307,0.7219244094139095,0.15971394855688548,1.8441867736586168,1.292878588809165,2.0332320278994533,2.17045120331648,1.5064288866564004,1.325037468183118,0.26552621472946036,3.4373085918138235,-0.35042587856148666
43,GSM1174128,GSM1174129,S334,D,Log2FC_GSM1174128_GSM1174129,0.09362054856677737,-2.921945166496685,-0.6726865144992349,-1.1534559430995959,0.10728979115783943,-1.0021543595328968,-0.9546604251611708,-0.6389420168131661,-0.4948818696612456,-0.38285113016875183,-0.5467807674230123,0.21975266286220307,-2.7693177864299585,1.2161630201750135
44,GSM1174130,GSM1174131,S335,E,Log2FC_GSM1174130_GSM1174131,0.3461707295502272,2.153458811592148,1.033696670147564,-0.5541127252023088,0.5984018394050787,0.6446461639829097,0.07684529264972273,0.7600492072792475,1.1326915626281355,0.569341855120963,0.7562009333281505,-0.4302226637329296,2.5060330595875975,0.17095373022264715
45,GSM1174132,GSM1174133,S336,F,Log2FC_GSM1174132_GSM1174133,0.06535730754368885,-0.9327241064011389,-0.7167483277569691,-0.13617463479171654,0.48116155054174214,-0.7050556394983847,-1.1187512431184805,-1.246712969839753,-1.0345154194753103,-0.45540065722530354,0.22425465589904547,0.47234051492057727,-1.2925261382752327,-0.01713503319724463
46,GSM1174134,GSM1174135,S352,F,Log2FC_GSM1174134_GSM1174135,0.525765588839441,-0.06379467063214062,-0.5754169581407371,-1.478223570068172,0.3099794716813671,2.040200431219743,-0.5632702261779174,0.030013347928230516,-0.057050514038367695,-0.14821511620128813,-0.41283534454137705,0.4484159816604385,-0.5616037260522893,-1.0128566888192054
47,GSM1174136,GSM1174137,S354,E,Log2FC_GSM1174136_GSM1174137,0.08392588935370604,-0.5788170685435441,-0.4274469243460004,-1.8014117330450556,0.2830085384978416,0.06915569812403888,-0.3027723964140874,-0.5408116423769727,-0.5039658807210472,-0.2873706875776083,-1.066837804906676,0.03273855365852185,-1.7183835864590016,3.529899842132864
48,GSM1174138,GSM1174139,S356,F,Log2FC_GSM1174138_GSM1174139,0.2022410597238391,0.1878138502377702,-0.23376561012969255,0.09308948086110647,0.018163044305982368,-0.8473760168170665,-0.39352180314563956,-0.36370699470641643,-0.27368562772601557,-0.018126984137875723,0.6876845032044585,-0.07290071871000858,-0.08998851591152057,-0.3718423408637528
49,GSM1174140,GSM1174141,S357,F,Log2FC_GSM1174140_GSM1174141,0.05038871422639524,0.25104856258898334,-0.3870471887871503,-1.273915109794248,0.5990455596724615,0.8552036154154994,0.5775080492099645,0.33024193029431537,0.500098940420127,-0.22338146096977063,-0.3917102156344603,-1.1531796628589186,0.22858716201532747,-0.44300824045174325
50,GSM1174142,GSM1174143,S359,E,Log2FC_GSM1174142_GSM1174143,0.16442481207490012,-0.5986597687975035,-0.7217068198622432,-1.9101544608056145,0.6089720288955505,-0.24973706983351018,0.21758458305431105,-0.521381953402317,-0.5747192838591424,-0.031033043260104698,-1.0376674355210023,-0.5649978527085184,-0.7721440983706316,1.0668752309703513
51,GSM1174144,GSM1174145,S361,F,Log2FC_GSM1174144_GSM1174145,-0.10296030807993972,-0.6277610653014287,0.5563489737812661,-0.38350237987564206,0.16813749122253352,0.1786785612992201,-0.3447777009147446,-0.07274745003854921,-0.2453918841701377,0.08080857376764872,0.13299574083417198,0.3185812127558405,-0.4953035457052497,-1.2477230740840972
52,GSM1174146,GSM1174147,S366,F,Log2FC_GSM1174146_GSM1174147,0.02475867308744384,-0.260865294396587,-0.7939281561300833,0.18092683964873402,0.26683255637371417,-0.3327420006300148,-0.331356169310558,-0.3127934605359588,-0.43013915924592716,-1.3498330433383918,-1.0471210391441756,0.16396401414976403,-0.598616632552992,1.1659584046436722
53,GSM1174148,GSM1174149,S367,F,Log2FC_GSM1174148_GSM1174149,0.3655394712680078,-0.2283858262403804,-3.140321370764809e-05,-1.3283722025150695,0.4392647217319814,-0.1653239198650569,-0.212994285041324,0.26374825952271586,0.3181515665303678,0.32942778562363095,0.5052802505744278,-1.0137063787792133,-0.5124575056313425,-1.6937016643873906
54,GSM1174150,GSM1174151,S379,E,Log2FC_GSM1174150_GSM1174151,0.03476929358226322,1.447248970382808,1.603839686842094,-0.17810253541287047,-0.05512703178012046,1.2791319954602027,0.981159617605714,-0.5800808086334985,-0.6832883481886984,-1.0186376680674485,-0.24710492515704008,-0.6270963496936068,2.179952056232212,1.0367422524627927
55,GSM1174152,GSM1174153,S387,E,Log2FC_GSM1174152_GSM1174153,0.2727616486526365,1.317746227306694,0.7658277190855625,-1.1772579670461099,-0.11901992896069835,1.5800747338191217,1.1912648542798099,-0.05746629088759203,-0.08186984959547772,-0.7039009907867095,-0.6469327758346362,-0.39110379077941637,1.3048984119799005,-0.09860809125485881
56,GSM1174154,GSM1174155,S401,F,Log2FC_GSM1174154_GSM1174155,-2.1514494780012914,-2.4026453083947725,-3.8009075932714955,-4.019464082132417,-3.8597351258260835,-3.228156240975962,-1.3912871737315329,-2.8443067174429135,-3.323851195457335,-1.1006758324070844,-0.545785257315373,0.26221216502203415,-4.591419563115666,3.9524779292603727
